,logFC,logCPM,LR,PValue,FDR,gene_name,gene_type
ENSG00000004939,-0.033229576,-4.699155988,0.000603072,0.980407893,0.991782616,SLC4A1,protein_coding
ENSG00000004948,0.894500879,-0.975870322,0.293111674,0.588233362,0.757503479,CALCR,protein_coding
ENSG00000004961,1.155815305,4.710314554,5.854183431,0.015540067,0.090610783,HCCS,protein_coding
ENSG00000004975,-0.565726666,4.922155037,1.766052878,0.183871322,0.391999502,DVL2,protein_coding
ENSG00000005001,2.407309427,4.191733455,5.599476741,0.017965843,0.100043073,PRSS22,protein_coding
ENSG00000005007,0.085162203,5.845814821,0.04267279,0.836342619,0.916412904,UPF1,protein_coding
ENSG00000005020,1.195747099,4.921094301,7.056379783,0.007898345,0.056247076,SKAP2,protein_coding
ENSG00000005022,1.598311602,9.132410995,7.614334727,0.005790612,0.044867393,SLC25A5,protein_coding
ENSG00000005059,0.412355017,4.667618238,0.489389591,0.48419972,0.680339653,MCUB,protein_coding
ENSG00000005073,-3.770300605,3.142553432,35.35897012,2.74202789559965e-09,1.794161359008e-07,HOXA11,protein_coding
ENSG00000005075,0.57574079,4.475876372,0.782099874,0.376499692,0.59007439,POLR2J,protein_coding
ENSG00000005100,0.601235087,5.181612497,1.810222809,0.178481504,0.38556067,DHX33,protein_coding
ENSG00000005102,-3.981879369,1.966460626,30.41485659,3.4884620383794e-08,1.68415499319124e-06,MEOX1,protein_coding
ENSG00000005108,-3.401818661,3.647487488,34.12258151,5.17472564495968e-09,3.15750670157629e-07,THSD7A,protein_coding
ENSG00000005156,-0.155944239,4.890053506,0.130003099,0.718428826,0.842986825,LIG3,protein_coding
ENSG00000005175,0.867934011,5.044918365,4.048966292,0.044198402,0.176112133,RPAP3,protein_coding
ENSG00000005187,-2.896631095,1.480952607,22.02014619,2.69803595522897e-06,7.98582288076579e-05,ACSM3,protein_coding
ENSG00000005189,1.665955147,3.443293111,5.495592484,0.019064467,0.104045318,REXO5,protein_coding
ENSG00000005194,0.950774882,5.547453238,3.88080605,0.048841103,0.188104002,CIAPIN1,protein_coding
ENSG00000005206,0.441611165,4.163366821,0.709864106,0.399488929,0.610216214,SPPL2B,protein_coding
ENSG00000005238,-0.008141666,3.356329564,0.000268186,0.986934122,0.994910401,FAM214B,protein_coding
ENSG00000005243,-1.071695264,3.404083739,2.231173625,0.135251078,0.333577385,COPZ2,protein_coding
ENSG00000005249,-1.283799984,3.158240473,2.156651657,0.141953725,0.342526709,PRKAR2B,protein_coding
ENSG00000005302,0.765837843,4.920663393,3.016023885,0.082445375,0.254144303,MSL3,protein_coding
ENSG00000005339,-0.376887596,7.233201809,0.641317067,0.42323427,0.631278928,CREBBP,protein_coding
ENSG00000005379,-1.284331929,3.025936016,3.444299624,0.063470317,0.218847702,TSPOAP1,protein_coding
ENSG00000005381,-0.146330522,-3.267203823,0.009487118,0.922407287,0.963258466,MPO,protein_coding
ENSG00000005421,2.632700174,-2.274788759,1.17899949,0.277559774,0.492942696,PON1,protein_coding
ENSG00000005436,0.156194747,6.705218079,0.108319782,0.742065208,0.858303942,GCFC2,protein_coding
ENSG00000005448,0.612458716,3.533838745,0.828626862,0.362669887,0.577855398,WDR54,protein_coding
ENSG00000005469,1.05844024,7.203537288,2.08586321,0.148668164,0.351205411,CROT,protein_coding
ENSG00000005471,-0.675401194,-1.291365555,1.362221367,0.24315287,0.456234302,ABCB4,protein_coding
ENSG00000005483,-0.568885491,5.733855922,1.65261876,0.198602878,0.40801886,KMT2E,protein_coding
ENSG00000005486,-0.041541737,5.370568013,0.005963702,0.938444546,0.971749389,RHBDD2,protein_coding
ENSG00000005513,-3.598401815,-2.071719986,34.17519419,5.03669082332061e-09,3.09168369041075e-07,SOX8,protein_coding
ENSG00000005700,0.112108905,8.104713188,0.072304625,0.788010335,0.887063283,IBTK,protein_coding
ENSG00000005801,1.090054843,4.630934577,4.508592631,0.033724979,0.148950781,ZNF195,protein_coding
ENSG00000005810,0.472116266,8.675683746,0.591664295,0.441776267,0.646410438,MYCBP2,protein_coding
ENSG00000005812,-0.961644448,5.032227847,5.46836014,0.019363787,0.104954978,FBXL3,protein_coding
ENSG00000005844,1.568086261,3.772205365,2.360185994,0.124467348,0.318500946,ITGAL,protein_coding
ENSG00000005882,-1.23804043,3.058311767,7.030777135,0.008012058,0.056772997,PDK2,protein_coding
ENSG00000005884,1.644241424,7.274327036,2.724026274,0.098848389,0.281158389,ITGA3,protein_coding
ENSG00000005889,-0.402107974,5.158558208,0.90977855,0.340173183,0.555790099,ZFX,protein_coding
ENSG00000005893,0.619578868,7.621313751,1.767265484,0.183720859,0.39189553,LAMP2,protein_coding
ENSG00000005961,2.335657536,2.79716249,3.099705933,0.078306438,0.246585898,ITGA2B,protein_coding
ENSG00000005981,3.338144691,-0.133031554,1.384221827,0.239383324,0.452478194,ASB4,protein_coding
ENSG00000006007,0.711477925,5.973861139,2.437205097,0.118487171,0.310136671,GDE1,protein_coding
ENSG00000006015,0.290638491,3.599591271,0.202881156,0.652405242,0.801094766,REX1BD,protein_coding
ENSG00000006016,-0.717926536,2.360730705,0.388284559,0.533202491,0.71664596,CRLF1,protein_coding
ENSG00000006025,-0.226290342,2.736575632,0.144340475,0.704003562,0.833855397,OSBPL7,protein_coding
ENSG00000006042,-2.148088508,5.589106501,12.48329007,0.000410608,0.005917263,TMEM98,protein_coding
ENSG00000006047,3.210973092,2.752138741,9.020529195,0.002669641,0.025676927,YBX2,protein_coding
ENSG00000006059,9.248749893,0.069266615,7.66394023,0.005633534,0.043938136,KRT33A,protein_coding
ENSG00000006062,-0.509861559,3.853328332,0.812331313,0.367431894,0.582005306,MAP3K14,protein_coding
ENSG00000006071,-2.895488581,-1.273510353,3.839515476,0.050057985,0.191162699,ABCC8,protein_coding
ENSG00000006118,2.274336234,5.04130512,11.68715825,0.000629329,0.008396429,TMEM132A,protein_coding
ENSG00000006125,-0.306648919,7.510121757,0.299508613,0.58419064,0.754667511,AP2B1,protein_coding
ENSG00000006128,-2.119317572,-1.509699047,1.224122397,0.268553145,0.483493508,TAC1,protein_coding
ENSG00000006194,-0.405540872,5.617960764,1.008488645,0.315265185,0.532302089,ZNF263,protein_coding
ENSG00000006210,-0.277732418,5.485561592,0.091812644,0.761885279,0.870980929,CX3CL1,protein_coding
ENSG00000006282,-1.020257429,4.109139881,4.82196692,0.028099263,0.133511184,SPATA20,protein_coding
ENSG00000006283,-2.740467957,-0.880181796,19.63116804,9.39244638812906e-06,0.000235408,CACNA1G,protein_coding
ENSG00000006327,0.995835999,5.245579519,1.645481596,0.199575027,0.409078903,TNFRSF12A,protein_coding
ENSG00000006377,2.240496067,1.577674083,2.48652796,0.114824787,0.304605874,DLX6,protein_coding
ENSG00000006432,4.270133388,4.771398514,20.78922248,5.12706781518368e-06,0.000139533,MAP3K9,protein_coding
ENSG00000006451,0.767352744,6.214906714,2.642974509,0.104008645,0.288609973,RALA,protein_coding
ENSG00000006453,3.162987391,6.157277992,22.62452822,1.96954048641407e-06,6.09348879061285e-05,BAIAP2L1,protein_coding
ENSG00000006459,0.424407683,4.880354346,0.525654256,0.468439653,0.667342597,KDM7A,protein_coding
ENSG00000006468,-0.267704904,2.527669286,0.115088387,0.734423821,0.853032283,ETV1,protein_coding
ENSG00000006530,0.647234085,4.371823812,1.982604831,0.159116262,0.363273885,AGK,protein_coding
ENSG00000006534,-0.027233768,3.558007313,0.00092862,0.97568961,0.989469931,ALDH3B1,protein_coding
ENSG00000006555,2.942569661,4.65728961,8.368040924,0.003818771,0.033129416,TTC22,protein_coding
ENSG00000006576,0.857245344,7.681736474,3.493158827,0.061622895,0.215645073,PHTF2,protein_coding
ENSG00000006606,0.79417284,-0.113054518,0.482792142,0.487160306,0.682472708,CCL26,protein_coding
ENSG00000006607,0.63092592,5.431690335,1.274184731,0.258983093,0.473457796,FARP2,protein_coding
ENSG00000006611,0.457586259,2.098749356,0.038686631,0.844070783,0.920976008,USH1C,protein_coding
ENSG00000006625,1.729695228,5.945739759,7.129553015,0.007582363,0.054634583,GGCT,protein_coding
ENSG00000006634,2.105210912,4.147782163,13.12979594,0.000290636,0.004446737,DBF4,protein_coding
ENSG00000006638,-2.478363774,-0.055293442,25.33141254,4.82782142879303e-07,1.74570193604426e-05,TBXA2R,protein_coding
ENSG00000006652,-0.139283274,3.197330937,0.049373232,0.824157508,0.908304037,IFRD1,protein_coding
ENSG00000006659,-0.553337166,-3.587875484,0.042174744,0.837287037,0.916729146,LGALS14,protein_coding
ENSG00000006695,0.807435515,4.222935838,2.26305233,0.13249269,0.329314226,COX10,protein_coding
ENSG00000006704,1.237427347,4.582245607,4.455455752,0.034789932,0.151973688,GTF2IRD1,protein_coding
ENSG00000006712,0.002840935,6.260539338,4.50186240037453e-05,0.99464656,0.998258588,PAF1,protein_coding
ENSG00000006715,-0.056340088,5.224956342,0.020359674,0.886537123,0.945118552,VPS41,protein_coding
ENSG00000006740,-1.328630143,1.782833842,2.729883219,0.098486486,0.280466238,ARHGAP44,protein_coding
ENSG00000006744,0.545220949,6.751807735,1.305315331,0.253244595,0.467366089,ELAC2,protein_coding
ENSG00000006747,2.191627471,3.049916478,3.440143021,0.063630184,0.21912674,SCIN,protein_coding
ENSG00000006756,0.121858175,4.951572074,0.035934291,0.849651252,0.924277501,ARSD,protein_coding
ENSG00000006757,0.356209585,4.326930437,0.329676431,0.565849679,0.742546413,PNPLA4,protein_coding
ENSG00000006788,-0.767060564,-2.87633515,0.24671576,0.619397165,0.778626595,MYH13,protein_coding
ENSG00000006831,0.258577392,6.336191831,0.463043358,0.49620508,0.689347314,ADIPOR2,protein_coding
ENSG00000006837,0.893254816,-1.308133868,2.183508299,0.139496158,0.339258627,CDKL3,protein_coding
ENSG00000007001,-2.107994752,-3.783220894,4.5431021,0.033051643,0.14707527,UPP2,protein_coding
ENSG00000007038,5.367900002,1.99589995,4.937694587,0.026277063,0.128289967,PRSS21,protein_coding
ENSG00000007047,-0.266898975,4.159586388,0.403454734,0.52531046,0.710733121,MARK4,protein_coding
ENSG00000007062,-1.431382427,5.020108674,0.812405635,0.367409978,0.58200057,PROM1,protein_coding
ENSG00000007080,0.032805441,4.930841434,0.005039648,0.943405334,0.973738689,CCDC124,protein_coding
ENSG00000007129,1.125760579,0.034921534,0.995077431,0.318504564,0.534988618,CEACAM21,protein_coding
ENSG00000007168,-0.483736036,6.583751396,1.687921899,0.193875135,0.402854191,PAFAH1B1,protein_coding
ENSG00000007171,2.797091519,3.347718013,2.226372551,0.135672041,0.334110594,NOS2,protein_coding
ENSG00000007174,-0.845052734,-0.332980096,0.56840126,0.450894913,0.652780871,DNAH9,protein_coding
ENSG00000007202,0.413148458,7.12844734,0.856239085,0.354793302,0.570925561,KIAA0100,protein_coding
ENSG00000007216,0.060601581,-3.18867222,0.001605933,0.968034053,0.985582479,SLC13A2,protein_coding
ENSG00000007237,-2.493320873,4.474497662,14.66402386,0.000128475,0.002212205,GAS7,protein_coding
ENSG00000007255,0.06136652,3.25000404,0.006979371,0.93342008,0.968742569,TRAPPC6A,protein_coding
ENSG00000007264,1.764031326,2.007422199,2.520881513,0.112347765,0.300871883,MATK,protein_coding
ENSG00000007306,-1.256196785,4.323273781,0.89546984,0.343999325,0.559588005,CEACAM7,protein_coding
ENSG00000007312,-2.911949624,0.10821876,17.61732939,2.70115719955327e-05,0.000589976,CD79B,protein_coding
ENSG00000007314,-3.932367122,-3.508205457,7.099065595,0.007712415,0.055336324,SCN4A,protein_coding
ENSG00000007341,0.348263209,3.776161655,0.533137999,0.465290559,0.664580399,ST7L,protein_coding
ENSG00000007350,5.490812788,1.736112526,2.033440554,0.15387193,0.356864514,TKTL1,protein_coding
ENSG00000007372,7.366372632,1.705895578,11.48288379,0.000702401,0.009168474,PAX6,protein_coding
ENSG00000007376,0.916433269,3.540287572,3.088076495,0.078867987,0.247664792,RPUSD1,protein_coding
ENSG00000007384,-0.062341447,4.018549784,0.012775795,0.910006723,0.956942471,RHBDF1,protein_coding
ENSG00000007392,-0.198807515,4.94253816,0.186371388,0.665953997,0.809713489,LUC7L,protein_coding
ENSG00000007402,-1.464864605,-0.306836422,6.348748099,0.011746416,0.074100008,CACNA2D2,protein_coding
ENSG00000007516,1.585313546,1.339653743,1.673960789,0.195728858,0.404997671,BAIAP3,protein_coding
ENSG00000007520,0.035769242,3.871419645,0.005947403,0.938528556,0.971803526,TSR3,protein_coding
ENSG00000007541,-0.163831242,3.992563428,0.103012801,0.748243679,0.862028001,PIGQ,protein_coding
ENSG00000007545,-0.10314442,3.09157465,0.043551612,0.834690068,0.915254355,CRAMP1,protein_coding
ENSG00000007866,-1.07976051,4.879623095,4.881762809,0.027141886,0.130870873,TEAD3,protein_coding
ENSG00000007908,-0.596027008,2.470856825,0.289229884,0.590714462,0.759206557,SELE,protein_coding
ENSG00000007923,1.098319928,5.534912557,4.221778913,0.0399083,0.165450771,DNAJC11,protein_coding
ENSG00000007933,5.649818814,4.973666003,4.055009429,0.044040473,0.175733316,FMO3,protein_coding
ENSG00000007944,-1.377369014,5.765524861,8.357558085,0.003840864,0.033197887,MYLIP,protein_coding
ENSG00000007952,1.397613639,3.477374139,3.150509611,0.075903254,0.242618187,NOX1,protein_coding
ENSG00000007968,6.88170867,4.09923568,32.77858731,1.03276234750924e-08,5.6313015022964e-07,E2F2,protein_coding
ENSG00000008018,0.389422359,7.632499521,0.473828299,0.491231224,0.685739166,PSMB1,protein_coding
ENSG00000008056,0.724554976,1.252644742,0.437469946,0.508346139,0.698318247,SYN1,protein_coding
ENSG00000008083,1.146359666,5.288629069,4.774128918,0.028890459,0.1358561,JARID2,protein_coding
ENSG00000008086,-0.037091466,3.38163208,0.004570668,0.946098711,0.975090628,CDKL5,protein_coding
ENSG00000008118,-0.502141325,-1.326415269,0.442023422,0.506147449,0.696601141,CAMK1G,protein_coding
ENSG00000008128,0.902897676,0.794514166,2.786061233,0.095087685,0.275043752,CDK11A,protein_coding
ENSG00000008130,0.256528204,5.656599307,0.403358919,0.52535965,0.710733121,NADK,protein_coding
ENSG00000008196,3.735965158,-0.760861564,2.132619618,0.144194142,0.345519905,TFAP2B,protein_coding
ENSG00000008226,2.209252079,0.468869372,1.63290592,0.20130159,0.410991107,DLEC1,protein_coding
ENSG00000008256,-0.875884258,5.541184584,2.558650677,0.10969217,0.297145943,CYTH3,protein_coding
ENSG00000008277,-1.575448828,2.354181872,5.832669217,0.015731237,0.091292032,ADAM22,protein_coding
ENSG00000008282,-0.467059695,7.858203676,1.009912616,0.314923775,0.532060607,SYPL1,protein_coding
ENSG00000008283,0.57121979,5.335474007,1.415151435,0.234203105,0.446027253,CYB561,protein_coding
ENSG00000008294,-0.506046735,6.12337558,1.598142667,0.206166621,0.416272213,SPAG9,protein_coding
ENSG00000008300,4.151627691,3.900330768,16.29455375,5.42195628769745e-05,0.001066122,CELSR3,protein_coding
ENSG00000008311,-0.725272988,6.832897835,0.649466344,0.42030354,0.628496819,AASS,protein_coding
ENSG00000008323,3.619426715,3.200224856,13.23415941,0.000274893,0.004254549,PLEKHG6,protein_coding
ENSG00000008324,1.117458837,4.340859203,3.080837833,0.079219707,0.248292261,SS18L2,protein_coding
ENSG00000008382,0.835081934,2.265654864,1.821351144,0.177152531,0.384076216,MPND,protein_coding
ENSG00000008394,1.875003267,6.106091155,1.892403477,0.168931082,0.37461768,MGST1,protein_coding
ENSG00000008405,-0.304481702,4.534259137,0.46418168,0.495676117,0.68928454,CRY1,protein_coding
ENSG00000008438,0.110554329,-4.658894215,0.007946355,0.928968798,0.966875741,PGLYRP1,protein_coding
ENSG00000008441,-2.112803382,5.023151864,16.76663028,4.22701525114857e-05,0.000856911,NFIX,protein_coding
ENSG00000008513,-0.319869686,5.288882129,0.199701099,0.654962219,0.802792073,ST3GAL1,protein_coding
ENSG00000008516,0.925853848,0.426230419,1.038074949,0.308269611,0.525336104,MMP25,protein_coding
ENSG00000008517,2.697922797,5.511605359,5.919606415,0.014973303,0.088264134,IL32,protein_coding
ENSG00000008710,-1.621658834,4.217427231,7.629574522,0.005741885,0.044579697,PKD1,protein_coding
ENSG00000008735,0.465545926,2.38651382,0.297224771,0.585627494,0.755756224,MAPK8IP2,protein_coding
ENSG00000008838,0.44197618,7.104226007,0.651494449,0.419578881,0.627953153,MED24,protein_coding
ENSG00000008853,-0.231379365,3.365712091,0.086222856,0.76903508,0.875330993,RHOBTB2,protein_coding
ENSG00000008869,0.518844128,4.677723138,1.401397736,0.236489684,0.448714663,HEATR5B,protein_coding
ENSG00000008952,-0.08295723,9.792334475,0.033187604,0.855445664,0.927137286,SEC62,protein_coding
ENSG00000008988,-0.241494247,9.874681358,0.175154655,0.675570753,0.815476396,RPS20,protein_coding
ENSG00000009307,-0.317402881,8.707009163,0.782042886,0.37651708,0.59007439,CSDE1,protein_coding
ENSG00000009335,0.502977307,6.788974287,0.952221724,0.329154421,0.544981474,UBE3C,protein_coding
ENSG00000009413,-1.987365789,4.711397245,21.57897427,3.39553903064978e-06,9.75915998220305e-05,REV3L,protein_coding
ENSG00000009694,-2.616721296,1.342560328,8.358537721,0.003838794,0.033194042,TENM1,protein_coding
ENSG00000009709,12.07772659,2.865531718,5.020685974,0.025046245,0.124113304,PAX7,protein_coding
ENSG00000009724,-0.192055751,-0.023003068,0.06946289,0.792120423,0.889637912,MASP2,protein_coding
ENSG00000009765,1.012241939,-1.366333604,0.269855407,0.603428783,0.768859767,IYD,protein_coding
ENSG00000009780,-0.032296565,3.854711087,0.005475184,0.94101477,0.97260964,FAM76A,protein_coding
ENSG00000009790,2.408516146,2.785181946,6.217722089,0.012647774,0.078198026,TRAF3IP3,protein_coding
ENSG00000009830,0.628409789,5.102063243,1.826116786,0.176586901,0.38348311,POMT2,protein_coding
ENSG00000009844,1.105730491,8.486010938,6.094776212,0.01355821,0.082337208,VTA1,protein_coding
ENSG00000009950,0.503340771,-0.054747422,0.147993254,0.7004605,0.831362725,MLXIPL,protein_coding
ENSG00000009954,0.309802759,7.151559606,0.565589859,0.45201673,0.653554566,BAZ1B,protein_coding
ENSG00000010017,0.520090623,5.847470701,1.039545567,0.307927185,0.525050404,RANBP9,protein_coding
ENSG00000010030,2.994656378,4.934833098,8.621360706,0.003322436,0.030007302,ETV7,protein_coding
ENSG00000010072,1.240744986,3.740535695,6.695412395,0.009666131,0.064763076,SPRTN,protein_coding
ENSG00000010165,0.340715802,5.656090463,0.619312382,0.431302924,0.637271679,EEF1AKNMT,protein_coding
ENSG00000010219,-1.037110757,3.663453862,3.324955216,0.068235873,0.228167641,DYRK4,protein_coding
ENSG00000010244,1.025657208,9.764231291,6.387274348,0.011494139,0.073054157,ZNF207,protein_coding
ENSG00000010256,0.738113652,7.475502469,1.858169704,0.172836191,0.37904735,UQCRC1,protein_coding
ENSG00000010270,-1.095627679,4.442254002,3.787729551,0.051629637,0.194514999,STARD3NL,protein_coding
ENSG00000010278,0.747185041,9.360022099,1.45701452,0.22740574,0.439615836,CD9,protein_coding
ENSG00000010282,-1.552462958,-4.415847405,0.797741111,0.3717696,0.586118413,HHATL,protein_coding
ENSG00000010292,2.061250927,6.780753617,17.04916265,3.64244330862521e-05,0.000755334,NCAPD2,protein_coding
ENSG00000010295,-2.253171181,2.640443352,22.68212689,1.91137499866794e-06,5.93143444339407e-05,IFFO1,protein_coding
ENSG00000010310,1.740943575,-0.215802037,3.275085766,0.07033925,0.2321467,GIPR,protein_coding
ENSG00000010318,0.15387993,1.638842555,0.085109194,0.770489398,0.876321627,PHF7,protein_coding
ENSG00000010319,-2.505869724,1.602212572,15.09887121,0.000102024,0.001819926,SEMA3G,protein_coding
ENSG00000010322,-1.17300788,5.255698529,7.804492167,0.005211651,0.041597172,NISCH,protein_coding
ENSG00000010327,-1.248095315,3.956760336,4.316444744,0.037745706,0.159500568,STAB1,protein_coding
ENSG00000010361,-0.440195804,3.820629928,0.546302043,0.459832627,0.659974417,FUZ,protein_coding
ENSG00000010379,2.013201678,-1.378577316,1.284891341,0.25699155,0.471513638,SLC6A13,protein_coding
ENSG00000010404,0.420512194,2.119936981,0.419509157,0.517182067,0.704433855,IDS,protein_coding
ENSG00000010438,7.890138503,1.3514698,5.440059154,0.019680003,0.106029981,PRSS3,protein_coding
ENSG00000010539,0.470513592,3.896257867,1.205496402,0.272225886,0.487152172,ZNF200,protein_coding
ENSG00000010610,0.946441171,4.173730304,1.271125672,0.259555611,0.474200378,CD4,protein_coding
ENSG00000010626,-0.474451971,2.779339212,0.538870517,0.462901198,0.662490718,LRRC23,protein_coding
ENSG00000010671,0.732330746,2.478023245,0.867312354,0.351700439,0.56784915,BTK,protein_coding
ENSG00000010704,-0.43807683,3.152181209,0.550177934,0.458245,0.65877003,HFE,protein_coding
